embrace	abrazar
absurdity	absurdo
plentiful	abundante
quicken	acelerar
reputable	acreditado
woe	aflicción
lithe	ágil
thankful	agradecido
assault	agresión
cheery	alegre
joyful	alegre
rollicking	alegre
cheerfulness	alegría
gladness	alegría
joy	alegría
merriment	alegría
mirth	alegría
sheriff	alguacil
ally	aliado
relief	alivio
lodging	alojamiento
lover	amor
threat	amenaza
unsung	anónimo
antagonistic	antagonista
antique	antiguo
nullify	anular
overturn	anular
listless	apático
squelch	aplastar
approval	aprobación
arbitrator	árbitro
referee	árbitro
umpire	árbitro
craftsman	artesano
ordnance	artillería
cutthroat	asesino
murderous	homicida
slayer	homicida
blissful	feliz
astonishingly	asombrosamente
coffin	ataúd
frightened	asustado
heinous	atroz
stunned	aturdido
absentee	ausente
clearance	autorización
accredited	acreditado
loathing	aborrecer
scourge	azotar
spank	azotar
junk	basura
rubbish	basura
trash	basura
scholarship	beca
bestial	bestial
profanity	blasfemia
shining	brillante
gloss	brillo
hoax	engaño
prank	broma
witch	bruja
scoff	burla
sneer	burla
knight	caballero
corpse	cadáver
tiresome	cansado
stuffy	cargado
sweetie	cariño
heavenly	celestial
sentry	centinela
cosy	acogedor
swine	porcino
scientist	científico
summons	citación
classical	clásico
trade	comercio
companion	compañero
fellow	compañero
mate	compañero
redress	reparación
competence	aptitud
competency	aptitud
fully	totalmente
confide	confiar
entrust	confiar
conformity	conformidad
confuse	confundir
turmoil	confusión
frostbite	congelación
counsellor	consejero
advise	aconsejar
dismay	desconcierto
construct	construir
pollution	contaminación
pollute	contaminar
happy	feliz
contradictory	contradictorio
averse	adverso
convincing	convincente
cooperative	cooperación
politeness	cortesía
credit	crédito
unkind	cruel
creaking	crujido
guilt	culpabilidad
culprit	culpable
guilty	culpable
trendy	de moda
shortcoming	deficiencia
advocate	abogado
forward	adelante
dispel	disipar
demon	demonio
devil	demonio
fiend	demonio
reliance	confianza
slump	depresión
break	romper
scorn	desprecio
fain	encantado
desirous	deseoso
hopelessness	desesperación
despairing	desesperación
uneven	desigual
lawlessness	anarquía
mess	desastre
disorderly	desordenado
enthusiasm	entusiasmo
messy	desordenado
untidy	desordenado
exhilaration	regocijo
loathe	detestar
tirade	diatriba
uneasy	incómodo
levee	dique
displeased	disgustado
fatigue	fatiga
fatigued	fatigado
distaste	disgusto
dolor	dolor
pain	dolor
overpower	dominar
gifted	dotado
sweetness	dulzura
uplift	elevar
polite	cortés
elimination	eliminación
forget	olvidar
forgotten	olvidado
thrilling	emocionante
enchanted	encantado
pleased	contento
charming	cautivador
delightful	delicioso
foe	enemigo
sickness	enfermedad
friendly	amigable
sickly	enfermizo
diseased	enfermo
ill	enfermo
sick	enfermo
deceit	engaño
deception	decepción
guile	astucia
deceptive	fraudulento
generous	generoso
trainer	entrenador
entertain	entretener
entertaining	entretenimiento
amusing	divertido
glare	destello
erroneous	erróneo
error	error
mistake	error
scholar	erudito
goodness	bondad
scarcity	escasez
shortage	escasez
debris	desecho
grievous	grave
slag	escoria
guarantee	garantizar
esprit	ánimo
sterile	estéril
esthetic	estética
muck	lodo
blatant	flagrante
exigent	exigente
expert	experto
hellish	infernal
explosion	explosión
flaw	defecto
homicidal	homicida
homicide	homicidio
falsehood	mentira
forgery	falsificación
bogus	fraudulento
disingenuous	engañoso
phony	fraudulento
untrue	falso
foul	asqueroso
lack	falta
household	hogar
bigoted	intolerante
slush	fango
ghost	espíritu
phantom	fantasma
charade	farsa
farce	farsa
bliss	felicidad
happiness	alegría
unsightly	feo
dummy	falso
fiesta	fiesta
frolic	fiesta
pretended	fingido
staunch	constante
physique	cuerpo
flaccid	flácido
incredulous	incrédulo
strengthen	fortalecer
frantic	desesperado
frenzied	frenético
cold	frío
frustrated	frustrado
thwart	impedir
fort	fuerte
surety	garantía
warranty	garantía
insufficient	insuficiente
intelligence	inteligencia
thump	golpe
intolerant	intolerante
intrepid	intrépido
blob	mancha
invalidate	invalidar
rift	grieta
posse	pandilla
warfare	guerra
kern	núcleo
guide	guía
guidebook	guía
backwards	hacia atrás
smitten	entusiasmado
smite	herir
sib	hermano
lovely	encantador
heroics	heroico
puffy	inflado
hypocritical	hipócrita
ghastly	espantoso
gruesome	espantoso
hideous	espantoso
horrible	horrible
horrid	horrible
runaway	fugitivo
lowly	humillado
shoplifting	hurto
unlawful	ilegal
wrongful	ilícito
enlighten	aclarar
illuminate	iluminar
jerk	idiota
luck	suerte
moronic	estúpido
unbiased	imparcial
impeccable	impecable
impervious	impermeable
waterproof	impermeable
ungodly	impío
unholy	impío
unforgiving	implacable
major	principal
malfeasance	crimen
unprofitable	improductivo
merciless	despiadado
including	incluido
uncomfortable	incómodo
unaware	inconsciente
unconscious	inconsciente
incorrect	incorrecto
incursion	incursión
undecided	indeciso
helpless	indefenso
disregard	despreciar
moan	gemir
unsteady	inestable
untrained	inexperto
mourning	luto
unaccountable	incomprensible
unexplained	inexplicable
childish	inmaduro
nether	infernal
unfaithful	desleal
mutiny	motín
inferno	infierno
nasty	asqueroso
infraction	infracción
negligent	negligente
groundless	infundado
wits	ingenio
unfairness	injusticia
unwarranted	injustificado
inequitable	desigual
unjust	injusto
spotless	impecable
impending	inminente
restlessness	inquietud
doubting	duda
insecure	inestable
tasteless	desabrido
untenable	insostenible
inadequacy	deficiencia
