English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Spanish Word
aback	0	0	0	0	0	0	0	0	0	0	detrás
abacus	0	0	0	0	0	0	0	0	0	1	ábaco
abandoned	1	0	0	1	0	1	0	1	0	0	abandonado
derelict	0	0	0	0	0	1	0	0	0	0	en ruinas
abandonment	1	0	0	1	0	1	0	1	1	0	abandono
deserted	1	0	1	1	0	1	0	1	0	0	desierto
abatement	0	0	0	0	0	0	0	0	0	0	disminución
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abad
abbreviate	0	0	0	0	0	0	0	0	0	0	abreviar
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviatura
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
forlorn	0	0	0	0	0	1	0	1	0	0	desamparado
aberrant	0	0	0	0	0	1	0	0	0	0	aberrante
aberration	0	0	1	0	0	1	0	0	0	0	aberración
abeyance	0	0	0	0	0	0	0	0	0	0	suspensión
abhor	1	0	1	1	0	1	0	0	0	0	aborrecer
abhorrent	1	0	1	1	0	1	0	0	0	0	aborrecible
abide	0	0	0	0	0	0	0	0	0	0	cumplir
ability	0	0	0	0	0	0	1	0	0	0	capacidad
abject	0	0	1	0	0	1	0	0	0	0	abyecto
ablation	0	0	0	0	0	0	0	0	0	0	ablación
ablaze	0	0	0	0	0	0	0	0	0	0	ardiendo
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	a bordo
abode	0	0	0	0	0	0	0	0	0	0	morada
abolish	1	0	0	0	0	1	0	0	0	0	abolir
abolition	0	0	0	0	0	1	0	0	0	0	abolición
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abominación
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigen
abort	0	0	0	0	0	1	0	0	0	0	abortar
abortion	0	0	1	1	0	1	0	1	0	0	aborto
abortive	0	0	0	0	0	1	0	1	0	0	abortivo
abound	0	0	0	0	0	0	0	0	0	0	abundar
abovementioned	0	0	0	0	0	0	1	0	0	0	anteriormente mencionado
abrasion	0	0	0	0	0	1	0	0	0	0	abrasión
wham	0	0	0	0	0	0	0	0	0	0	¡zas!
abrogate	0	0	0	0	0	1	0	0	0	0	abrogar
abrupt	0	0	0	0	0	0	0	0	1	0	abrupto
abruptly	0	0	0	0	0	0	0	0	0	0	abruptamente
abscess	0	0	0	0	0	1	0	1	0	0	absceso
absence	0	0	0	1	0	1	0	1	0	0	ausencia
forsaken	1	0	0	0	0	1	0	1	0	0	olvidado
abandon	0	0	0	1	0	1	0	1	0	0	abandonar
absenteeism	0	0	0	0	0	1	0	0	0	0	absentismo
absinthe	0	0	0	0	0	0	0	0	0	0	Ajenjo
absolute	0	0	0	0	0	0	1	0	0	0	absoluto
absolution	0	0	0	0	1	0	1	0	0	1	absolución
absorbed	0	0	0	0	0	0	1	0	0	0	absorbido
absorbent	0	0	0	0	0	0	0	0	0	0	absorbente
absorbing	0	0	0	0	0	0	0	0	0	0	absorbente
absorption	0	0	0	0	0	0	0	0	0	0	absorción
abstain	0	0	0	0	0	0	0	0	0	0	abstenerse
abstention	0	0	0	0	0	0	0	0	0	0	abstención
abstinence	0	0	0	0	0	0	0	0	0	0	abstinencia
leave	0	0	0	0	0	1	0	1	1	0	dejar
abstraction	0	0	0	0	0	0	0	0	0	0	abstracción
forsake	0	0	0	0	0	1	0	1	0	0	olvidar
quit	0	0	0	0	0	1	0	0	0	0	renunciar
abundance	0	1	1	0	1	1	1	0	0	1	abundancia
abyss	0	0	0	1	0	1	0	1	0	0	abismo
abuse	1	0	1	1	0	1	0	1	0	0	abuso
abutment	0	0	0	0	0	0	0	0	0	0	contrafuerte
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismal
chasm	0	0	0	1	0	0	0	0	0	0	sima
academic	0	0	0	0	0	0	1	0	0	1	académico
academy	0	0	0	0	0	0	1	0	0	0	academia
accede	0	0	0	0	0	0	0	0	0	0	acceder a
attorney	1	0	0	1	0	0	1	0	0	1	fiscal
acceleration	0	0	0	0	0	0	0	0	0	0	aceleración
accent	0	0	0	0	0	0	0	0	0	0	acento
accentuate	0	0	0	0	0	0	0	0	0	0	acentuar
accept	0	0	0	0	0	0	0	0	0	0	aceptar
acceptable	0	0	0	0	0	0	1	0	0	0	aceptable
acceptance	0	0	0	0	0	0	1	0	0	0	aceptación
access	0	0	0	0	0	0	0	0	0	0	acceso
accessible	0	0	0	0	0	0	1	0	0	0	accesible
accession	0	0	0	0	0	0	0	0	0	0	adhesión
accessory	0	0	0	0	0	0	0	0	0	0	accesorio
accident	0	0	0	1	0	1	0	1	1	0	accidente
accidental	0	0	0	1	0	1	0	0	1	0	accidental
accidentally	0	0	0	0	0	0	0	0	1	0	accidentalmente
accolade	0	1	0	0	1	0	1	0	1	1	espaldarazo
accommodate	0	0	0	0	0	0	0	0	0	0	acomodar
barrister	0	0	0	0	0	0	0	0	0	0	abogada
accompaniment	0	1	0	0	1	0	1	0	0	1	acompañamiento
accompany	0	0	0	0	0	0	0	0	0	0	acompañar
accompanying	0	0	0	0	0	0	0	0	0	0	acompañamiento
accomplice	0	0	0	0	0	0	0	0	0	0	cómplice
ditch	0	0	0	0	0	0	0	0	0	0	abandone
accomplished	0	0	0	0	1	0	1	0	0	0	logrado
lawyer	1	0	1	1	0	1	0	0	0	0	abogado
solicitor	0	0	0	0	0	0	0	0	0	0	procurador
cuddle	0	0	0	0	1	0	1	0	0	1	abrazar
accordion	0	0	0	0	0	0	0	0	0	0	acordeón
account	0	0	0	0	0	0	0	0	0	1	cuenta
accountability	0	0	0	0	0	0	1	0	0	1	responsabilidad
hug	0	0	0	0	1	0	1	0	0	1	abrazo
accountant	0	0	0	0	0	0	0	0	0	1	contador
accounting	0	0	0	0	0	0	0	0	0	0	contabilidad
accounts	0	0	0	0	0	0	0	0	0	1	cuentas
absurd	0	0	0	0	0	1	0	0	0	0	absurdo
accretion	0	0	0	0	0	0	0	0	0	0	acreción
accrue	0	0	0	0	0	0	0	0	0	0	acumularse
tackling	0	0	0	0	0	0	0	0	0	0	abordar
accumulate	0	0	0	0	0	0	0	0	0	0	acumular
accumulation	0	0	0	0	0	0	0	0	0	0	acumulación
embrace	0	1	0	0	1	0	1	0	1	1	abrazar
absurdity	0	0	0	0	0	1	0	0	0	0	absurdo
farcical	0	0	1	0	0	1	0	0	0	0	farsa
nonsensical	0	0	0	0	0	1	0	1	0	0	disparatado
accusative	0	0	0	0	0	1	0	0	0	0	acusativo
abundant	0	0	0	0	1	0	1	0	0	0	abundante
accuser	1	0	0	1	0	1	0	0	0	0	acusador
overwhelmed	0	0	0	0	0	1	0	1	0	0	abrumada
accustomed	0	0	0	0	0	0	0	0	0	0	acostumbrado
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acético
bountiful	0	1	0	0	1	0	1	0	0	0	generoso
achieve	0	0	0	0	1	0	1	0	0	1	lograr
plentiful	0	0	0	0	0	0	1	0	0	0	abundante
rife	0	0	0	0	0	1	0	0	0	0	repleto
acid	0	0	0	0	0	1	0	0	0	0	ácido
acidity	0	0	0	0	0	0	0	0	0	0	acidez
acknowledge	0	0	0	0	0	0	0	0	0	0	reconocer
acknowledged	0	0	0	0	0	0	0	0	0	0	admitido
acknowledgment	0	0	0	0	0	0	1	0	0	0	Reconocimiento
acme	0	0	0	0	0	0	0	0	0	0	cumbre
acoustic	0	0	0	0	0	0	0	0	0	0	acústico
acoustics	0	0	0	0	0	0	0	0	0	0	acústica
acquaint	0	0	0	0	0	0	0	0	0	0	familiarizar
acquaintance	0	0	0	0	0	0	0	0	0	0	conocido
acquainted	0	0	0	0	0	0	0	0	0	0	familiarizado
acquiescence	0	0	0	0	0	0	0	0	0	0	aquiescencia
acquire	0	0	0	0	0	0	1	0	0	0	adquirir
acquiring	0	1	0	0	0	0	1	0	0	0	adquisidor
acquisition	0	0	0	0	0	0	0	0	0	0	adquisición
