Nodo,Polaridad,#Veces_Aparece
dejar,negativo,5
cubrir,neutro,2
mire,negativo,2
adecuado,positivo,1
pendiente,neutro,1
labor,positivo,1
hablar,positivo,9
humo,negativo,4
qué,positivo,2
abuso,negativo,5
integral,positivo,1
no,negativo,1
escuela,neutro,1
necesidad,neutro,5
familia,positivo,3
niño,positivo,5
acción,positivo,5
horrible,negativo,2
violencia,negativo,31
discriminación,negativo,3
defender,positivo,2
odio,negativo,1
nivel,positivo,3
pandemia,negativo,1
constitucional,positivo,1
inclusión,neutro,2
acusación,negativo,1
mostrar,neutro,5
indignación,negativo,1
comprender,positivo,4
estereotipo,negativo,1
lucir,negativo,3
piloto,positivo,1
motivo,positivo,3
comunidad,positivo,2
educativo,positivo,1
tarde,negativo,4
tiempo,neutro,3
académico,positivo,1
tema,negativo,11
academia,positivo,1
discusión,positivo,1
exponer,neutro,2
saber,negativo,11
inaceptable,negativo,2
persecución,negativo,5
político,positivo,1
abogado,negativo,1
delito,negativo,2
violación,negativo,1
culpable,negativo,1
justicia,positivo,1
desprecio,negativo,1
rechazar,negativo,3
pena,negativo,1
agravante,negativo,1
ley,neutro,2
llegar,neutro,5
víctima,negativo,1
tribunal,negativo,1
rezar,positivo,2
privado,negativo,2
causar,negativo,2
público,positivo,1
sufrimiento,negativo,2
físico,neutro,1
daño,negativo,1
cultura,positivo,6
edición,neutro,5
laboral,positivo,1
acoso,negativo,21
regular,positivo,1
buscar,neutro,7
contar,positivo,6
senado,neutro,1
centro,positivo,7
impartir,positivo,3
dictadura,negativo,1
invitar,positivo,7
abierto,neutro,1
facultad,positivo,4
mañana,neutro,1
perspectiva,positivo,11
comunicación,neutro,1
compromiso,negativo,2
green,positivo,1
esperar,neutro,8
ahorro,positivo,1
participación,positivo,6
efectivo,positivo,1
sistema,neutro,6
administración,positivo,1
informe,negativo,8
pago,negativo,1
crédito,positivo,1
evitar,negativo,5
golpe,negativo,3
formación,positivo,5
urgente,negativo,2
guía,positivo,1
simbólico,positivo,1
recomendar,positivo,4
enfoque,positivo,6
razón,positivo,2
caso,negativo,4
enriquecer,positivo,2
represión,negativo,1
único,positivo,1
dar,positivo,15
patriarcal,positivo,1
explorar,neutro,4
clave,neutro,1
vinculado,negativo,4
maternidad,positivo,1
expectativa,positivo,1
doméstico,negativo,1
forma,positivo,2
cuerpo,negativo,2
revolución,negativo,1
libertad,positivo,1
miedo,negativo,1
escrutinio,negativo,1
duro,negativo,1
sin,negativo,1
libremente,positivo,1
trabajo,positivo,11
consejo,neutro,2
marco,neutro,4
reunión,positivo,1
política,neutro,7
descuento,positivo,1
presidenta,positivo,7
compañero,positivo,2
cuando,negativo,1
combativo,negativo,1
lucha,negativo,6
transporte,neutro,1
igualdad,positivo,5
grande,neutro,1
conjunto,positivo,1
revive,negativo,3
brecha,negativo,8
contribuir,positivo,2
encuesta,neutro,1
puerto,neutro,1
fortalecer,positivo,6
farmacéutico,positivo,1
organizado,positivo,2
participar,positivo,4
estado,positivo,1
conmemoración,positivo,2
oportunidad,positivo,4
defensa,positivo,1
próximo,positivo,1
unido,positivo,1
señor,positivo,1
sexo,positivo,1
preparado,positivo,4
ver,neutro,7
investigación,neutro,4
disminuir,negativo,4
mayor,positivo,1
director,positivo,11
empresa,neutro,1
vital,positivo,1
banco,neutro,1
visitar,positivo,1
república,negativo,1
atención,positivo,3
investigador,positivo,2
decente,positivo,1
base,neutro,1
equidad,positivo,5
estilo,positivo,1
incluir,positivo,3
entregar,negativo,6
vigilancia,positivo,2
reforzar,positivo,6
posibilidad,neutro,2
agosto,positivo,1
gratuito,neutro,1
intervención,negativo,1
lectura,positivo,1
morir,negativo,4
presentación,negativo,2
escritura,neutro,2
barrera,negativo,1
