NodoInicio,NodoFin
cubrir,humo
humo,hablar
hablar,pendiente
hablar,equidad
hablar,trabajo
no,niño
no,necesidad
no,familia
no,acción
no,comprender
no,lucha
no,qué
no,preparado
no,morir
no,invitar
no,dejar
no,lealtad
no,saber
no,aplauso
no,demostrar
no,discurso
no,finalmente
no,exagerado
no,molestar
niño,necesidad
niño,familia
niño,dar
escuela,necesidad
qué,lucir
necesidad,familia
necesidad,integral
abuso,delito
abuso,acusado
discriminación,violencia
discriminación,acción
discriminación,no
discriminación,razón
discriminación,caso
horrible,acción
violencia,acción
violencia,causar
violencia,invitar
violencia,impartir
violencia,víctima
violencia,razón
violencia,nada
violencia,justo
violencia,acoso
acción,daño
odio,nivel
inclusión,discriminación
inclusión,no
inclusión,ver
pandemia,hablar
mostrar,división
motivo,indignación
motivo,lucir
motivo,hablar
motivo,comprender
motivo,no
estereotipo,hablar
estereotipo,brecha
estereotipo,reducir
lucir,hablar
comprender,incluir
educativo,comunidad
comunidad,jornada
académico,comunidad
académico,consejo
tema,tiempo
tema,tarde
tema,violencia
tema,discusión
tema,compromiso
tema,abordar
tiempo,tarde
tiempo,desigualdad
academia,oportunidad
persecución,político
persecución,exponer
persecución,inaceptable
político,exponer
político,inaceptable
político,compromiso
político,público
político,sistema
exponer,inaceptable
saber,ver
saber,señor
violación,abuso
violación,cultura
abogado,familia
culpable,abuso
culpable,delito
pena,llegar
físico,sufrimiento
físico,daño
físico,violencia
sufrimiento,causar
sufrimiento,daño
privado,público
privado,doméstico
causar,acción
causar,daño
rezar,daño
público,política
público,entregar
cultura,violencia
cultura,edición
laboral,acoso
laboral,buscar
laboral,violencia
laboral,participación
laboral,denuncia
contar,buscar
contar,caso
acoso,regular
acoso,buscar
acoso,violencia
acoso,caso
acoso,denunciar
acoso,físico
acoso,saber
acoso,abuso
acoso,acusado
acoso,cuando
acoso,molestar
acoso,olvidar
regular,buscar
buscar,violencia
buscar,brecha
centro,invitar
centro,impartir
centro,atención
abierto,violencia
abierto,invitar
abierto,impartir
abierto,grande
dictadura,violencia
dictadura,represión
dictadura,intentar
invitar,impartir
facultad,organizado
facultad,conmemoración
perspectiva,enfoque
perspectiva,precursor
perspectiva,igualdad
pago,participación
informe,sistema
informe,edición
participación,sistema
participación,división
participación,hecho
participación,serio
sistema,edición
golpe,conmemoración
golpe,estado
golpe,responsable
evitar,formación
simbólico,violencia
formación,trabajo
formación,nivel
enfoque,trabajo
urgente,equidad
caso,violencia
caso,investigación
dar,enriquecer
dar,agosto
dar,gratuito
dar,tratar
dar,cumplir
vinculado,privado
vinculado,doméstico
cuerpo,enfoque
cuerpo,privado
libremente,enfoque
sin,escrutinio
sin,denunciar
sin,embargo
duro,escrutinio
marco,enfoque
marco,decente
marco,trabajo
marco,tortura
trabajo,vigilancia
trabajo,división
trabajo,discriminar
política,brecha
política,público
política,jornada
política,importante
política,debate
presidenta,posibilidad
compañero,cuando
compañero,represión
cuando,represión
cuando,comprender
cuando,incluir
cuando,tratar
cuando,molestar
cuando,lograr
igualdad,perspectiva
igualdad,planificación
igualdad,trabajo
igualdad,viva
igualdad,fortalecimiento
combativo,perspectiva
lucha,estereotipo
lucha,brecha
lucha,reducir
lucha,división
transporte,público
contribuir,brecha
brecha,desafío
brecha,reducir
participar,abierto
participar,violencia
participar,edición
organizado,conmemoración
estado,tortura
defensa,próximo
defensa,oportunidad
próximo,oportunidad
próximo,agosto
oportunidad,profesional
oportunidad,brecha
ver,orgullo
investigación,disminuir
investigación,buscar
investigación,brecha
investigación,didáctico
investigación,recepción
investigación,perspectiva
investigación,precursor
disminuir,buscar
disminuir,brecha
disminuir,desafío
empresa,director
director,marco
director,decente
director,trabajo
director,acoso
director,denunciar
república,violencia
investigador,atención
investigador,llegar
investigador,formación
decente,trabajo
estilo,incluir
reforzar,trabajo
reforzar,vigilancia
entregar,estado
posibilidad,dejar
intervención,invitar
escritura,morir
escritura,pandemia
morir,presentación
morir,invitar
presentación,lectura
presentación,invitar
lectura,invitar
duda,aclarar
duda,participación
duda,hecho
duda,serio
aclarar,jornada
tratar,convenio
tratar,oficial
tratar,demostrar
tratar,finalmente
tratar,no
planificación,estratégico
si,bueno
si,no
si,mostrar
si,saber
renovación,dejar
renovación,no
afirmar,dejar
comisión,político
comisión,sistema
intenso,debate
necesario,organización
necesario,verdad
necesario,problema
tecnología,brecha
organización,propio
organización,equidad
verdad,problema
infancia,medida
infancia,integral
medida,problema
medida,integral
alegría,avance
alegría,ver
alegría,orgullo
llevar,innovación
llevar,política
llevar,adelante
llevar,importante
innovación,política
innovación,adelante
innovación,importante
innovación,público
avance,ver
tarea,pendiente
bebé,saber
aparentemente,saber
castigar,cortar
castigar,sentido
castigar,fuerza
castigar,marco
cortar,sentido
cortar,fuerza
cortar,establecido
sentido,fuerza
reparación,política
último,llegar
discriminar,división
información,ver
denunciar,violencia
denunciar,recurrente
aplauso,discurso
demostrar,finalmente
carga,trabajo
cumplir,compromiso
desigualdad,lucha
conmemorar,lucha
cena,mostrar
educado,sufrir
sufrir,violencia
sufrir,justo
general,acoso
denuncia,acoso
denuncia,físico
denuncia,no
denuncia,extender
denuncia,gobierno
denuncia,cuando
denuncia,molestar
denuncia,lograr
recurso,director
recurso,acoso
recurso,denunciar
recurso,protección
agresión,denuncia
agresión,acoso
agresión,físico
criticar,consulta
criticar,extender
criticar,responsable
consulta,paro
consulta,extender
paro,extender
contrario,ocultar
contrario,no
jugador,jugar
jugador,arsenal
jugador,abuso
jugador,acusado
jugar,arsenal
jugar,delito
exagerado,molestar
olvidar,lograr
